,01_07_2022,vortag,vorwoche,neu
Altenbeken,718,710,687,8
Bad Lippspringe,1237,1228,1185,9
Bad Wünnenberg,847,841,826,6
Borchen,936,932,908,4
Büren,1122,1115,1072,7
Delbrück,2719,2683,2584,36
Hövelhof,1288,1265,1218,23
Lichtenau,657,655,635,2
Paderborn,10981,10869,10367,112
Salzkotten,1772,1766,1711,6
