,01_15_2022,vortag,vorwoche,neu
Altenbeken,747,743,718,4
Bad Lippspringe,1295,1288,1237,7
Bad Wünnenberg,897,881,847,16
Borchen,995,977,936,18
Büren,1194,1177,1122,17
Delbrück,2852,2818,2719,34
Hövelhof,1360,1349,1288,11
Lichtenau,697,691,657,6
Paderborn,11597,11488,10981,109
Salzkotten,1852,1838,1772,14
