,01_23_2022,vortag,vorwoche,neu
Altenbeken,794,787,747,7
Bad Lippspringe,1373,1357,1295,16
Bad Wünnenberg,963,953,897,10
Borchen,1073,1049,995,24
Büren,1286,1265,1194,21
Delbrück,3018,2984,2852,34
Hövelhof,1440,1413,1360,27
Lichtenau,748,742,697,6
Paderborn,12433,12295,11597,138
Salzkotten,1951,1931,1852,20
