,08_19_2021,vortag,vorwoche,neu
Altenbeken,388,387,385,1
Bad Lippspringe,698,695,680,3
Bad Wünnenberg,554,551,547,3
Borchen,443,442,442,1
Büren,625,623,615,2
Delbrück,1343,1339,1312,4
Hövelhof,674,673,664,1
Lichtenau,262,262,261,0
Paderborn,5466,5436,5326,30
Salzkotten,787,780,767,7
