,08_23_2021,vortag,vorwoche,neu
Altenbeken,388,388,387,0
Bad Lippspringe,707,704,689,3
Bad Wünnenberg,559,558,550,1
Borchen,446,445,441,1
Büren,625,625,622,0
Delbrück,1348,1346,1321,2
Hövelhof,682,680,668,2
Lichtenau,262,262,262,0
Paderborn,5546,5493,5393,53
Salzkotten,797,791,774,6
