,08_25_2021,vortag,vorwoche,neu
Altenbeken,388,388,387,0
Bad Lippspringe,715,714,695,1
Bad Wünnenberg,561,561,551,0
Borchen,446,446,442,0
Büren,627,625,623,2
Delbrück,1357,1349,1339,8
Hövelhof,685,683,673,2
Lichtenau,264,263,262,1
Paderborn,5601,5570,5436,31
Salzkotten,802,798,780,4
