,08_26_2021,vortag,vorwoche,neu
Altenbeken,391,388,388,3
Bad Lippspringe,718,715,698,3
Bad Wünnenberg,563,561,554,2
Borchen,446,446,443,0
Büren,626,627,625,-1
Delbrück,1365,1357,1343,8
Hövelhof,688,685,674,3
Lichtenau,268,264,262,4
Paderborn,5633,5601,5466,32
Salzkotten,803,802,787,1
