,08_29_2021,vortag,vorwoche,neu
Altenbeken,391,391,388,0
Bad Lippspringe,723,718,704,5
Bad Wünnenberg,563,563,558,0
Borchen,449,446,445,3
Büren,628,626,625,2
Delbrück,1372,1365,1346,7
Hövelhof,688,688,680,0
Lichtenau,270,268,262,2
Paderborn,5672,5633,5493,39
Salzkotten,807,803,791,4
