,09_07_2021,vortag,vorwoche,neu
Altenbeken,407,403,394,4
Bad Lippspringe,759,756,730,3
Bad Wünnenberg,573,573,565,0
Borchen,458,456,452,2
Büren,648,642,632,6
Delbrück,1464,1457,1394,7
Hövelhof,709,702,690,7
Lichtenau,285,285,274,0
Paderborn,5904,5877,5734,27
Salzkotten,869,869,824,0
