,09_14_2021,vortag,vorwoche,neu
Altenbeken,421,421,407,0
Bad Lippspringe,776,775,759,1
Bad Wünnenberg,591,585,573,6
Borchen,464,461,458,3
Büren,659,657,648,2
Delbrück,1492,1488,1464,4
Hövelhof,739,735,709,4
Lichtenau,297,295,285,2
Paderborn,6035,6010,5904,25
Salzkotten,896,890,869,6
