,09_26_2021,vortag,vorwoche,neu
Altenbeken,440,440,430,0
Bad Lippspringe,794,792,782,2
Bad Wünnenberg,595,595,593,0
Borchen,470,470,466,0
Büren,675,673,669,2
Delbrück,1528,1529,1509,-1
Hövelhof,773,768,754,5
Lichtenau,306,306,302,0
Paderborn,6167,6149,6095,18
Salzkotten,928,920,907,8
