,10_25_2021,vortag,vorwoche,neu
Altenbeken,450,450,446,0
Bad Lippspringe,829,829,823,0
Bad Wünnenberg,614,613,616,1
Borchen,481,480,478,1
Büren,684,681,678,3
Delbrück,1615,1604,1589,11
Hövelhof,803,802,798,1
Lichtenau,318,318,319,0
Paderborn,6404,6370,6329,34
Salzkotten,975,969,968,6
