,10_27_2021,vortag,vorwoche,neu
Altenbeken,451,451,447,0
Bad Lippspringe,832,831,827,1
Bad Wünnenberg,614,615,613,-1
Borchen,486,483,479,3
Büren,690,687,679,3
Delbrück,1623,1617,1595,6
Hövelhof,807,803,801,4
Lichtenau,319,320,318,-1
Paderborn,6452,6424,6347,28
Salzkotten,979,976,969,3
