,10_28_2021,vortag,vorwoche,neu
Altenbeken,454,451,447,3
Bad Lippspringe,837,832,828,5
Bad Wünnenberg,615,614,613,1
Borchen,487,486,480,1
Büren,702,690,680,12
Delbrück,1631,1623,1600,8
Hövelhof,809,807,802,2
Lichtenau,319,319,318,0
Paderborn,6490,6452,6359,38
Salzkotten,984,979,969,5
