,10_29_2021,vortag,vorwoche,neu
Altenbeken,460,454,450,6
Bad Lippspringe,838,837,829,1
Bad Wünnenberg,618,615,613,3
Borchen,489,487,480,2
Büren,711,702,681,9
Delbrück,1639,1631,1604,8
Hövelhof,809,809,802,0
Lichtenau,320,319,318,1
Paderborn,6514,6490,6370,24
Salzkotten,989,984,969,5
