,11_18_2021,vortag,vorwoche,neu
Altenbeken,505,498,483,7
Bad Lippspringe,914,903,870,11
Bad Wünnenberg,656,647,632,9
Borchen,577,564,514,13
Büren,756,750,736,6
Delbrück,1785,1774,1718,11
Hövelhof,886,877,850,9
Lichtenau,381,369,345,12
Paderborn,7351,7260,6913,91
Salzkotten,1167,1137,1068,30
