,11_22_2021,vortag,vorwoche,neu
Altenbeken,514,512,491,2
Bad Lippspringe,934,926,887,8
Bad Wünnenberg,659,658,641,1
Borchen,609,590,537,19
Büren,766,760,744,6
Delbrück,1826,1809,1746,17
Hövelhof,910,903,868,7
Lichtenau,400,393,355,7
Paderborn,7537,7442,7104,95
Salzkotten,1200,1182,1113,18
