,11_25_2021,vortag,vorwoche,neu
Altenbeken,529,525,505,4
Bad Lippspringe,978,966,914,12
Bad Wünnenberg,683,674,656,9
Borchen,641,633,577,8
Büren,782,777,756,5
Delbrück,1895,1876,1785,19
Hövelhof,944,934,886,10
Lichtenau,433,427,381,6
Paderborn,7832,7738,7351,94
Salzkotten,1245,1227,1167,18
