,11_26_2021,vortag,vorwoche,neu
Altenbeken,537,529,512,8
Bad Lippspringe,987,978,926,9
Bad Wünnenberg,688,683,658,5
Borchen,663,641,590,22
Büren,798,782,760,16
Delbrück,1925,1895,1809,30
Hövelhof,960,944,903,16
Lichtenau,443,433,393,10
Paderborn,7933,7832,7442,101
Salzkotten,1267,1245,1182,22
