,11_29_2021,vortag,vorwoche,neu
Altenbeken,543,537,514,6
Bad Lippspringe,998,987,934,11
Bad Wünnenberg,696,688,659,8
Borchen,680,663,609,17
Büren,816,798,766,18
Delbrück,1951,1925,1826,26
Hövelhof,981,960,910,21
Lichtenau,455,443,400,12
Paderborn,8051,7933,7537,118
Salzkotten,1293,1267,1200,26
