,12_01_2021,vortag,vorwoche,neu
Altenbeken,564,555,525,9
Bad Lippspringe,1022,1015,966,7
Bad Wünnenberg,715,711,674,4
Borchen,725,703,633,22
Büren,843,831,777,12
Delbrück,2008,1983,1876,25
Hövelhof,1003,994,934,9
Lichtenau,475,470,427,5
Paderborn,8289,8204,7738,85
Salzkotten,1341,1326,1227,15
