,12_05_2021,vortag,vorwoche,neu
Altenbeken,586,575,537,11
Bad Lippspringe,1051,1034,987,17
Bad Wünnenberg,727,725,688,2
Borchen,735,728,663,7
Büren,869,854,798,15
Delbrück,2071,2046,1925,25
Hövelhof,1029,1017,960,12
Lichtenau,502,489,443,13
Paderborn,8510,8405,7933,105
Salzkotten,1388,1366,1267,22
