,12_06_2021,vortag,vorwoche,neu
Altenbeken,590,586,543,4
Bad Lippspringe,1062,1051,998,11
Bad Wünnenberg,733,727,696,6
Borchen,755,735,680,20
Büren,876,869,816,7
Delbrück,2119,2071,1951,48
Hövelhof,1046,1029,981,17
Lichtenau,529,502,455,27
Paderborn,8655,8510,8051,145
Salzkotten,1407,1388,1293,19
