,12_07_2021,vortag,vorwoche,neu
Altenbeken,598,590,555,8
Bad Lippspringe,1069,1062,1015,7
Bad Wünnenberg,739,733,711,6
Borchen,762,755,703,7
Büren,889,876,831,13
Delbrück,2144,2119,1983,25
Hövelhof,1060,1046,994,14
Lichtenau,530,529,470,1
Paderborn,8752,8655,8204,97
Salzkotten,1427,1407,1326,20
