,12_10_2021,vortag,vorwoche,neu
Altenbeken,617,603,586,14
Bad Lippspringe,1093,1090,1051,3
Bad Wünnenberg,750,746,727,4
Borchen,793,785,735,8
Büren,914,905,869,9
Delbrück,2247,2213,2071,34
Hövelhof,1095,1083,1029,12
Lichtenau,562,556,502,6
Paderborn,9092,8953,8510,139
Salzkotten,1478,1461,1388,17
