,12_26_2021,vortag,vorwoche,neu
Altenbeken,667,661,642,6
Bad Lippspringe,1154,1148,1122,6
Bad Wünnenberg,808,800,779,8
Borchen,881,877,839,4
Büren,1009,999,962,10
Delbrück,2500,2485,2365,15
Hövelhof,1187,1176,1121,11
Lichtenau,618,615,603,3
Paderborn,9982,9902,9529,80
Salzkotten,1673,1664,1572,9
