,12_31_2021,vortag,vorwoche,neu
Altenbeken,687,685,667,2
Bad Lippspringe,1185,1176,1154,9
Bad Wünnenberg,826,820,808,6
Borchen,908,900,881,8
Büren,1072,1058,1009,14
Delbrück,2584,2563,2500,21
Hövelhof,1218,1200,1187,18
Lichtenau,635,631,618,4
Paderborn,10367,10281,9982,86
Salzkotten,1711,1698,1673,13
