Gemeinde,28.01.2022 | 13:00 Uhr,31.01.2022 | 15:00 Uhr,Differenz
Bergkamen,5856,6180,324
Bönen,2117,2212,95
Fröndenberg/Ruhr,1933,1996,63
Holzwickede,1462,1531,69
Kamen,3925,4059,134
Lünen,10493,10912,419
Schwerte,4037,4073,36
Selm,2385,2488,103
Unna,5138,5268,130
Werne,2556,2679,123
