Gemeinde,02.06.2021 | 15:00 Uhr,04.06.2021 | 13:00 Uhr,Differenz
Bergkamen,2853,2855,2
Bönen,942,945,3
Fröndenberg/Ruhr,981,981,0
Holzwickede,683,683,0
Kamen,1931,1934,3
Lünen,5139,5144,5
Schwerte,1780,1784,4
Selm,1125,1126,1
Unna,2209,2213,4
Werne,1257,1257,0
