Gemeinde,04.06.2021 | 13:00 Uhr,07.06.2021 | 15:00 Uhr,Differenz
Bergkamen,2855,2858,3
Bönen,945,949,4
Fröndenberg/Ruhr,981,981,0
Holzwickede,683,685,2
Kamen,1934,1932,-2
Lünen,5144,5153,9
Schwerte,1784,1790,6
Selm,1126,1129,3
Unna,2213,2215,2
Werne,1257,1257,0
