Gemeinde,18.08.2021 | 15:00 Uhr,19.08.2021 | 15:00 Uhr,Differenz
Bergkamen,2924,2939,15
Bönen,971,971,0
Fröndenberg/Ruhr,1005,1005,0
Holzwickede,720,721,1
Kamen,1997,1997,0
Lünen,5294,5306,12
Schwerte,1843,1847,4
Selm,1161,1163,2
Unna,2274,2289,15
Werne,1289,1289,0
