Gemeinde,23.08.2021 | 15:00 Uhr,24.08.2021 | 15:00 Uhr,Differenz
Bergkamen,2960,2974,14
Bönen,978,978,0
Fröndenberg/Ruhr,1009,1009,0
Holzwickede,725,730,5
Kamen,2013,2023,10
Lünen,5353,5380,27
Schwerte,1860,1865,5
Selm,1170,1173,3
Unna,2309,2323,14
Werne,1295,1296,1
