Gemeinde,31.08.2021 | 15:00 Uhr,01.09.2021 | 15:00 Uhr,Differenz
Bergkamen,3036,3048,12
Bönen,998,999,1
Fröndenberg/Ruhr,1018,1018,0
Holzwickede,757,757,0
Kamen,2056,2074,18
Lünen,5474,5489,15
Schwerte,1894,1899,5
Selm,1179,1179,0
Unna,2365,2375,10
Werne,1324,1333,9
