Gemeinde,15.10.2021 | 13:00 Uhr,18.10.2021 | 15:00 Uhr,Differenz
Bergkamen,3225,3228,3
Bönen,1037,1040,3
Fröndenberg/Ruhr,1063,1063,0
Holzwickede,789,790,1
Kamen,2191,2193,2
Lünen,5855,5865,10
Schwerte,2026,2027,1
Selm,1229,1230,1
Unna,2599,2607,8
Werne,1400,1402,2
