Gemeinde,03.11.2021 | 15:00 Uhr,04.11.2021 | 15:00 Uhr,Differenz
Bergkamen,3286,3292,6
Bönen,1069,1071,2
Fröndenberg/Ruhr,1085,1087,2
Holzwickede,822,823,1
Kamen,2229,2236,7
Lünen,6019,6034,15
Schwerte,2105,2123,18
Selm,1268,1271,3
Unna,2677,2688,11
Werne,1439,1445,6
