Gemeinde,17.11.2021 | 15:00 Uhr,18.11.2021 | 15:00 Uhr,Differenz
Bergkamen,3357,3371,14
Bönen,1134,1153,19
Fröndenberg/Ruhr,1128,1131,3
Holzwickede,858,858,0
Kamen,2352,2369,17
Lünen,6354,6395,41
Schwerte,2242,2262,20
Selm,1349,1366,17
Unna,2790,2808,18
Werne,1521,1530,9
