Gemeinde,22.11.2021 | 15:00 Uhr,23.11.2021 | 15:00 Uhr,Differenz
Bergkamen,3420,3434,14
Bönen,1185,1193,8
Fröndenberg/Ruhr,1144,1145,1
Holzwickede,863,870,7
Kamen,2400,2407,7
Lünen,6487,6530,43
Schwerte,2292,2305,13
Selm,1408,1425,17
Unna,2866,2897,31
Werne,1556,1567,11
