Gemeinde,25.11.2021 | 15:00 Uhr,26.11.2021 | 13:00 Uhr,Differenz
Bergkamen,3480,3496,16
Bönen,1203,1207,4
Fröndenberg/Ruhr,1150,1156,6
Holzwickede,881,886,5
Kamen,2427,2438,11
Lünen,6605,6633,28
Schwerte,2329,2337,8
Selm,1442,1460,18
Unna,2948,2977,29
Werne,1600,1608,8
