Gemeinde,02.12.2021 | 15:00 Uhr,03.12.2021 | 13:00 Uhr,Differenz
Bergkamen,3586,3599,13
Bönen,1241,1253,12
Fröndenberg/Ruhr,1195,1198,3
Holzwickede,912,919,7
Kamen,2500,2515,15
Lünen,6790,6822,32
Schwerte,2418,2429,11
Selm,1507,1520,13
Unna,3082,3108,26
Werne,1651,1654,3
