Gemeinde,13.12.2021 | 15:00 Uhr,14.12.2021 | 15:00 Uhr,Differenz
Bergkamen,3760,3772,12
Bönen,1336,1353,17
Fröndenberg/Ruhr,1243,1245,2
Holzwickede,956,958,2
Kamen,2659,2671,12
Lünen,7054,7088,34
Schwerte,2572,2590,18
Selm,1586,1591,5
Unna,3362,3397,35
Werne,1741,1755,14
