Gemeinde,28.12.2021 | 15:00 Uhr,29.12.2021 | 15:00 Uhr,Differenz
Bergkamen,3926,3945,19
Bönen,1471,1475,4
Fröndenberg/Ruhr,1303,1307,4
Holzwickede,1015,1017,2
Kamen,2789,2802,13
Lünen,7348,7370,22
Schwerte,2789,2807,18
Selm,1662,1664,2
Unna,3670,3693,23
Werne,1856,1881,25
